STATE/UT,Year,Population,Literates - Males,Literates - Females,Population - Males,Population - Females,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total Crimes against Women,Total Crimes In India
Andaman and Nicobar Islands,2001,356650,146831,106304,192972,163180,2001,3,2,0,19,1,9,0,27,99295582
ANDHRA PRADESH,2001,75728400,23444788,16489535,22807968,22414768,2001,871,765,420,3544,2271,5791,7,34,
ARUNACHAL PRADESH,2001,1098328,303281,181504,579941,518027,2001,33,55,0,78,3,11,0,27,
ASSAM,2001,26638600,8188697,5826657,13777037,12878491,2001,817,1070,59,850,4,1248,0,22,
BIHAR,2001,82879910,20644376,10465201,43243795,39754714,2001,888,518,859,562,21,1558,83,27,
CHANDIGARH,2001,901080,382686,260559,506938,393697,2001,18,50,3,24,15,36,0,22,
CHHATTISGARH,2001,20834530,6711395,4461754,10474218,10359585,2001,959,171,70,1763,161,840,0,36,
Dadra and Nagar Haveli,2001,220963,72149,31755,121666,98824,2001,6,2,0,7,0,4,0,54,
Daman and Diu,2001,158080,70992,36608,92512,65692,2001,0,3,0,0,0,4,0,80,
DELHI,2001,13851503,5700847,3963917,7607234,6243273,2001,381,964,113,502,90,138,0,91,
GOA,2001,1348900,541032,444530,687248,660420,2001,12,6,2,17,7,11,0,82,
GUJARAT,2001,50597200,17833273,11994477,26385577,24285440,2001,286,857,67,756,111,3667,0,48,
HARYANA,2001,21083900,7480209,4613468,11363953,9780611,2001,398,297,285,478,401,1513,0,47,
HIMACHAL PRADESH,2001,6077453,2278386,1763235,3087940,2989960,2001,124,105,10,310,14,317,0,102,
Jammu and Kashmir,2001,10070300,3060628,1746658,5360926,4782774,2001,169,504,13,622,288,50,0,112,
JHARKHAND,2001,26946070,7646857,4130344,13885037,13060792,2001,567,279,217,297,5,484,2,13669,
KARNATAKA,2001,52734986,17661211,12773751,26898918,25951644,2001,293,271,220,1665,81,1755,0,15146,
KERALA,2001,31839000,12753602,12732086,15468614,16372760,2001,562,97,27,1942,81,2561,0,16929,
LAKSHADWEEP,2001,61300,24511,20172,31131,29519,2001,0,0,0,0,0,0,0,17075,
MADHYA PRADESH,2001,60385090,19672274,11920289,31443652,28904371,2001,2851,668,609,7063,751,2562,0,17175,
MAHARASHTRA,2001,96752500,37184963,26780980,50400596,46478031,2001,1302,611,308,2823,1120,6090,1,19006,
MANIPUR,2001,2294480,753466,557068,1161952,1131944,2001,20,62,0,21,0,5,0,22304,
MEGHALAYA,2001,2306540,614272,543603,1176087,1142735,2001,26,11,0,25,0,4,0,21796,
MIZORAM,2001,889690,350105,311340,459109,429464,2001,52,1,0,52,0,16,3,23224,
NAGALAND,2001,1990275,640201,492122,1047141,942895,2001,17,6,0,6,0,0,0,24757,
ODISHA,2001,36707900,11992333,7844722,18660570,18144090,2001,790,434,294,1655,458,1266,0,25536,
PUDUCHERRY,2001,974820,378758,317609,486961,487384,2001,9,3,1,35,27,3,0,25167,
PUNJAB,2001,24289130,8442293,6314677,12985045,11373954,2001,298,324,159,372,47,1128,0,30438,
RAJASTHAN,2001,56473300,18047157,9654853,29420011,27087177,2001,1049,2165,376,2878,56,5532,1,15455,
SIKKIM,2001,541902,189060,129275,288484,252367,2001,8,2,0,0,14,0,0,180,
TAMIL NADU,2001,62111390,22809662,17714883,31400909,31004770,2001,423,607,191,1773,1012,815,14,159,
TRIPURA,2001,3191880,1150707,871392,1642225,1556978,2001,102,35,16,58,0,227,0,139,
UTTAR PRADESH,2001,166053600,48901413,26817871,87565369,78632552,2001,1958,2879,2211,2870,2575,7365,0,148,
UTTARAKHAND,2001,8489100,3008875,2096907,4325924,4163425,2001,74,126,56,103,84,301,0,150,
WEST BENGAL,2001,80221300,27452426,19743975,41465985,38710212,2001,709,695,265,954,48,3859,3,168,
Andaman and Nicobar Islands,2002,356650,146831,106304,192972,163180,2002,2,1,0,17,3,4,0,185,
ANDHRA PRADESH,2002,75728400,23444788,16489535,22807968,22414768,2002,1002,854,449,3799,2024,7018,0,175,
ARUNACHAL PRADESH,2002,1098328,303281,181504,579941,518027,2002,38,38,0,68,2,13,0,164,
ASSAM,2002,26638600,8188697,5826657,13777037,12878491,2002,970,1276,70,984,7,1694,0,190,
BIHAR,2002,82879910,20644376,10465201,43243795,39754714,2002,1040,744,927,621,6,1577,38,171,
CHANDIGARH,2002,901080,382686,260559,506938,393697,2002,18,47,1,36,28,56,0,200,
CHHATTISGARH,2002,20834530,6711395,4461754,10474218,10359585,2002,992,154,85,1483,147,653,0,286,
Dadra and Nagar Haveli,2002,220963,72149,31755,121666,98824,2002,4,5,0,3,0,3,0,341,
Daman and Diu,2002,158080,70992,36608,92512,65692,2002,0,2,0,0,0,3,0,4048,
DELHI,2002,13851503,5700847,3963917,7607234,6243273,2002,403,893,135,446,128,135,0,5001,
GOA,2002,1348900,541032,444530,687248,660420,2002,12,5,2,18,6,8,0,5198,
GUJARAT,2002,50597200,17833273,11994477,26385577,24285440,2002,267,807,62,750,104,3321,0,5636,
HARYANA,2002,21083900,7480209,4613468,11363953,9780611,2002,361,290,256,454,1424,1565,0,5920,
HIMACHAL PRADESH,2002,6077453,2278386,1763235,3087940,2989960,2002,137,116,6,326,12,234,0,6741,
Jammu and Kashmir,2002,10070300,3060628,1746658,5360926,4782774,2002,192,596,18,785,368,54,0,6807,
JHARKHAND,2002,26946070,7646857,4130344,13885037,13060792,2002,797,178,275,411,3,588,36,8082,
KARNATAKA,2002,52734986,17661211,12773751,26898918,25951644,2002,292,300,233,1648,100,1826,0,9644,
KERALA,2002,31839000,12753602,12732086,15468614,16372760,2002,499,91,17,2123,102,2836,0,11493,
LAKSHADWEEP,2002,61300,24511,20172,31131,29519,2002,1,0,0,1,0,0,0,11462,
MADHYA PRADESH,2002,60385090,19672274,11920289,31443652,28904371,2002,2891,639,674,7118,783,3117,0,13470,
MAHARASHTRA,2002,96752500,37184963,26780980,50400596,46478031,2002,1352,650,303,2686,769,5353,0,17390,
MANIPUR,2002,2294480,753466,557068,1161952,1131944,2002,14,82,0,58,0,10,0,18790,
MEGHALAYA,2002,2306540,614272,543603,1176087,1142735,2002,38,10,0,23,0,0,0,4489,
MIZORAM,2002,889690,350105,311340,459109,429464,2002,76,2,0,73,0,3,0,4953,
NAGALAND,2002,1990275,640201,492122,1047141,942895,2002,17,4,0,1,0,0,0,5184,
ODISHA,2002,36707900,11992333,7844722,18660570,18144090,2002,691,432,248,1605,188,1167,0,6847,
PUDUCHERRY,2002,974820,378758,317609,486961,487384,2002,6,6,5,59,26,9,0,5202,
PUNJAB,2002,24289130,8442293,6314677,12985045,11373954,2002,299,354,166,341,145,944,0,5818,
RAJASTHAN,2002,56473300,18047157,9654853,29420011,27087177,2002,1051,2019,399,2730,44,5691,0,6543,
SIKKIM,2002,541902,189060,129275,288484,252367,2002,6,2,0,17,0,3,0,7335,
